
E:\College - Fall 2014\Machine Learning\Assignments\machineLearning\LogisticRegression & NaiveBayes>python naiveBayes.py
0.111111111111 ('7', '0', '4')
1.16666666667 ('11', '0', '7')
1.11111111111 ('0', '0', '4')
1.07692307692 ('10', '0', '2')
0.111111111111 ('5', '0', '4')
1.33333333333 ('5', '1', '5')
0.2 ('12', '4', '6')
1.2 ('3', '0', '6')
0.333333333333 ('12', '8', '3')
0.555555555556 ('6', '1', '1')
0.111111111111 ('4', '1', '4')
0.692307692308 ('6', '0', '2')
0.333333333333 ('12', '0', '5')
0.333333333333 ('14', '1', '5')
0.4 ('4', '0', '6')
1.0 ('10', '0', '6')
0.0769230769231 ('2', '0', '2')
1.2 ('15', '0', '6')
1.0 ('13', '0', '5')
1.07692307692 ('8', '1', '2')
0.111111111111 ('3', '1', '4')
0.037037037037 ('3', '0', '1')
1.07692307692 ('3', '0', '2')
0.833333333333 ('5', '1', '7')
1.16666666667 ('6', '1', '7')
0.307692307692 ('15', '1', '2')
0.111111111111 ('8', '0', '4')
1.0 ('6', '0', '6')
0.0769230769231 ('9', '0', '2')
1.33333333333 ('14', '0', '5')
0.222222222222 ('14', '1', '1')
0.2 ('2', '0', '6')
1.2 ('12', '6', '6')
0.0740740740741 ('2', '1', '1')
0.846153846154 ('15', '0', '2')
0.222222222222 ('13', '0', '1')
1.0 ('4', '0', '1')
0.333333333333 ('12', '2', '3')
0.111111111111 ('13', '0', '4')
0.333333333333 ('0', '1', '3')
0.2 ('15', '1', '6')
0.333333333333 ('13', '1', '7')
1.11111111111 ('11', '1', '4')
0.333333333333 ('12', '5', '5')
0.037037037037 ('1', '1', '1')
0.851851851852 ('14', '0', '1')
1.33333333333 ('1', '0', '3')
0.0769230769231 ('12', '6', '2')
1.33333333333 ('2', '1', '5')
0.166666666667 ('12', '2', '7')
0.166666666667 ('0', '1', '7')
0.037037037037 ('10', '1', '1')
0.333333333333 ('6', '0', '3')
1.33333333333 ('13', '1', '3')
0.037037037037 ('12', '5', '1')
0.166666666667 ('6', '0', '7')
0.0740740740741 ('0', '0', '1')
0.2 ('12', '8', '6')
1.16666666667 ('1', '0', '7')
0.166666666667 ('8', '1', '7')
0.333333333333 ('12', '4', '3')
0.111111111111 ('11', '0', '4')
1.33333333333 ('9', '1', '5')
1.03703703704 ('10', '0', '1')
0.166666666667 ('4', '1', '7')
0.666666666667 ('10', '1', '5')
1.16666666667 ('7', '0', '7')
1.0 ('2', '1', '7')
1.16666666667 ('3', '0', '7')
1.33333333333 ('0', '0', '5')
0.0769230769231 ('12', '8', '2')
0.4 ('6', '1', '6')
0.5 ('5', '0', '7')
0.333333333333 ('2', '0', '7')
1.33333333333 ('15', '0', '5')
0.333333333333 ('12', '4', '7')
0.5 ('12', '6', '7')
0.307692307692 ('5', '1', '2')
0.4 ('14', '1', '6')
1.03703703704 ('9', '1', '1')
1.0 ('10', '0', '5')
0.333333333333 ('4', '1', '3')
1.0 ('7', '1', '1')
1.11111111111 ('4', '0', '4')
1.33333333333 ('3', '0', '3')
0.2 ('12', '0', '6')
0.461538461538 ('6', '1', '2')
1.0 ('5', '0', '3')
0.666666666667 ('2', '0', '3')
0.259259259259 ('15', '0', '1')
0.518518518519 ('6', '0', '1')
0.666666666667 ('9', '0', '3')
0.333333333333 ('3', '1', '5')
0.307692307692 ('14', '1', '2')
0.037037037037 ('8', '0', '1')
0.111111111111 ('10', '1', '4')
0.333333333333 ('12', '6', '5')
1.11111111111 ('13', '1', '4')
1.33333333333 ('7', '1', '5')
0.2 ('5', '1', '6')
1.0 ('14', '0', '6')
0.0769230769231 ('13', '0', '2')
0.333333333333 ('6', '0', '5')
0.814814814815 ('15', '1', '1')
0.307692307692 ('4', '0', '2')
0.0740740740741 ('12', '0', '1')
1.0 ('9', '0', '7')
1.03703703704 ('3', '1', '1')
0.111111111111 ('12', '2', '4')
0.037037037037 ('12', '6', '1')
0.333333333333 ('11', '1', '5')
0.333333333333 ('7', '0', '5')
1.0 ('11', '0', '1')
0.846153846154 ('14', '0', '2')
0.333333333333 ('15', '1', '5')
1.11111111111 ('2', '1', '4')
0.2 ('12', '5', '6')
1.2 ('9', '1', '6')
0.111111111111 ('1', '1', '4')
1.11111111111 ('1', '0', '4')
0.0769230769231 ('7', '1', '2')
0.0740740740741 ('11', '1', '1')
1.33333333333 ('11', '0', '5')
0.666666666667 ('5', '1', '3')
1.07692307692 ('0', '0', '2')
0.111111111111 ('0', '1', '4')
0.0769230769231 ('12', '5', '2')
1.07692307692 ('9', '1', '2')
1.07692307692 ('7', '0', '2')
0.0740740740741 ('7', '0', '1')
1.0 ('4', '1', '6')
0.333333333333 ('8', '0', '3')
0.2 ('1', '1', '6')
0.166666666667 ('14', '1', '7')
0.8 ('0', '0', '6')
1.11111111111 ('10', '0', '4')
1.2 ('5', '0', '6')
0.111111111111 ('2', '0', '4')
0.888888888889 ('15', '0', '4')
1.0 ('13', '0', '7')
0.0769230769231 ('12', '0', '2')
0.111111111111 ('12', '4', '4')
1.11111111111 ('3', '0', '4')
0.037037037037 ('12', '8', '1')
1.33333333333 ('6', '1', '3')
0.846153846154 ('4', '1', '2')
1.11111111111 ('12', '0', '4')
0.111111111111 ('12', '6', '4')
0.333333333333 ('14', '1', '3')
0.333333333333 ('1', '1', '5')
0.846153846154 ('5', '0', '2')
1.11111111111 ('7', '1', '4')
0.148148148148 ('5', '1', '1')
0.2 ('3', '1', '6')
0.148148148148 ('12', '2', '1')
0.333333333333 ('12', '8', '5')
0.666666666667 ('13', '1', '5')
0.2 ('11', '1', '6')
0.333333333333 ('6', '0', '4')
1.11111111111 ('9', '0', '4')
1.16666666667 ('14', '0', '7')
1.03703703704 ('1', '0', '1')
1.16666666667 ('4', '0', '7')
1.33333333333 ('8', '1', '5')
1.0 ('2', '1', '3')
1.11111111111 ('8', '1', '4')
0.0769230769231 ('3', '1', '2')
0.333333333333 ('12', '2', '5')
0.166666666667 ('1', '1', '7')
1.0 ('0', '1', '1')
1.0 ('10', '1', '3')
0.333333333333 ('15', '1', '4')
0.851851851852 ('13', '1', '1')
0.0769230769231 ('11', '1', '2')
0.333333333333 ('8', '0', '5')
0.166666666667 ('12', '5', '7')
1.33333333333 ('14', '0', '3')
1.33333333333 ('1', '0', '5')
1.2 ('8', '0', '6')
1.07692307692 ('11', '0', '2')
0.333333333333 ('9', '1', '7')
0.333333333333 ('0', '1', '5')
0.333333333333 ('10', '1', '7')
0.333333333333 ('13', '0', '3')
0.333333333333 ('12', '5', '3')
1.33333333333 ('0', '0', '3')
0.111111111111 ('12', '8', '4')
0.888888888889 ('6', '1', '4')
0.333333333333 ('5', '0', '5')
1.33333333333 ('4', '0', '5')
0.888888888889 ('12', '4', '1')
1.2 ('11', '0', '6')
1.0 ('9', '1', '3')
0.666666666667 ('10', '0', '3')
0.333333333333 ('4', '1', '5')
0.2 ('9', '0', '6')
1.33333333333 ('3', '0', '5')
0.2 ('7', '1', '6')
1.16666666667 ('0', '0', '7')
1.2 ('7', '0', '6')
0.925925925926 ('5', '0', '1')
1.16666666667 ('8', '0', '7')
1.0 ('15', '0', '7')
0.333333333333 ('12', '0', '7')
0.037037037037 ('9', '0', '1')
1.33333333333 ('12', '4', '5')
0.222222222222 ('14', '1', '4')
1.0 ('10', '0', '7')
0.0740740740741 ('4', '1', '1')
1.33333333333 ('7', '1', '3')
1.03703703704 ('8', '1', '1')
1.0 ('14', '0', '4')
1.2 ('2', '1', '6')
0.333333333333 ('2', '0', '5')
0.333333333333 ('15', '1', '3')
1.0 ('2', '0', '1')
1.33333333333 ('15', '0', '3')
1.33333333333 ('12', '0', '3')
0.333333333333 ('9', '0', '5')
0.166666666667 ('3', '1', '7')
1.07692307692 ('12', '2', '2')
0.0769230769231 ('10', '1', '2')
1.2 ('13', '0', '6')
0.2 ('13', '1', '6')
0.166666666667 ('11', '1', '7')
0.166666666667 ('7', '1', '7')
1.11111111111 ('5', '1', '4')
1.33333333333 ('8', '1', '3')
1.07692307692 ('1', '1', '2')
0.0769230769231 ('0', '1', '2')
0.333333333333 ('15', '1', '7')
1.07692307692 ('2', '1', '2')
0.111111111111 ('12', '5', '4')
0.333333333333 ('3', '1', '3')
0.2 ('12', '2', '6')
0.333333333333 ('7', '0', '3')
0.0769230769231 ('1', '0', '2')
0.0769230769231 ('8', '0', '2')
0.333333333333 ('12', '6', '3')
1.07692307692 ('13', '1', '2')
0.333333333333 ('11', '1', '3')
1.33333333333 ('11', '0', '3')
0.6 ('0', '1', '6')
0.0769230769231 ('12', '4', '2')
1.33333333333 ('4', '0', '3')
0.111111111111 ('9', '1', '4')
0.5 ('12', '8', '7')
1.33333333333 ('6', '1', '5')
1.2 ('1', '0', '6')
0.4 ('10', '1', '6')
0.2 ('8', '1', '6')
0.333333333333 ('1', '1', '3')
Printing (actual, predicted)
1 1
1 1
1 3 -> Wrong 
1 1
1 1
1 1
1 1
1 5 -> Wrong 
1 3 -> Wrong
1 1
1 3 -> Wrong
1 1
1 1
1 1
2 2
2 2
2 2
2 2
2 2
2 2
2 2
3 5 -> Wrong
3 5 -> Wrong
4 4
4 4
4 3 -> Wrong
4 4
5 5
6 6
6 6
6 6
7 7
7 6 -> Wrong
7 7
7 6 -> Wrong
Total True positives is  10
Total True Negatives is  21
Total False Positives is  0
Total False Negatives is  4

E:\College - Fall 2014\Machine Learning\Assignments\machineLearning\LogisticRegression & NaiveBayes>

9 out of 35 wrongly predicted.

