JAMES WELDON JOHNSON SCHOOL,School,Risk 1 (High),60623,5/14/2014,Canvass Re-Inspection,41.86183983,-87.7031756,"(41.861839825906635, -87.70317559620635)",Pass
LE PAIN QUOTIDIEN,Restaurant,Risk 3 (Low),60611,7/3/2014,License,41.89925506,-87.62783464,"(41.89925505559848, -87.62783463799146)",Fail
"Aramark Educational Services, Inc.",Restaurant,Risk 1 (High),60605,5/6/2014,Canvass Re-Inspection,41.87517906,-87.62747379,"(41.875179056057796, -87.6274737894488)",Pass
TEQUILA RESTAURANT,Restaurant,Risk 1 (High),60638,7/28/2014,Complaint Re-Inspection,41.7969,-87.75543002,"(41.79689999850765, -87.75543001827512)",Pass
ARMAND'S PIZZERIA,Restaurant,Risk 1 (High),60631,8/5/2014,Canvass,42.00258143,-87.81607036,"(42.00258143308993, -87.81607036079886)",Pass
PIZZERIA DUE,Restaurant,Risk 1 (High),60611,7/25/2014,Short Form Complaint,41.89318499,-87.62661003,"(41.8931849885056, -87.62661002969385)",Pass
JUSTIN'S,Restaurant,Risk 1 (High),60657,8/5/2014,Canvass,41.94330696,-87.66406138,"(41.94330695630928, -87.66406138245193)",Pass
NICO,Restaurant,Risk 1 (High),60611,8/11/2014,Canvass,41.90119804,-87.62756406,"(41.90119804129134, -87.6275640618535)",Pass w/ Conditions
KENTUCKY FRIED CHICKEN 521049,Restaurant,Risk 2 (Medium),60612,5/12/2014,Canvass,41.86709655,-87.6862,"(41.86709655216573, -87.68619999926005)",Pass
TUTTO FRESCO,Restaurant,Risk 1 (High),60613,8/5/2014,Canvass Re-Inspection,41.95209132,-87.64948576,"(41.95209131570125, -87.64948576380081)",Pass
EL RESTAURANTE TINAJON,Restaurant,Risk 1 (High),60641,6/9/2014,Canvass Re-Inspection,41.96070465,-87.73956935,"(41.960704654894684, -87.73956935358164)",Pass
LAS TABLAS,Restaurant,Risk 1 (High),60641,5/19/2014,Canvass,41.95348584,-87.75073173,"(41.95348584271347, -87.75073172757178)",Pass
LA BAGUETTE NORTH BAKERY,Bakery,Risk 2 (Medium),60641,7/11/2014,Canvass,41.94132812,-87.72727788,"(41.941328119173214, -87.72727788269889)",Fail
RAMONA'S LOVELY TOUCH ACADEMY,Daycare Combo 1586,Risk 1 (High),60617,5/20/2014,Canvass,41.72998249,-87.55140127,"(41.7299824882975, -87.55140126696199)",Pass w/ Conditions
SALAM  RESTAURANT,Restaurant,Risk 1 (High),60625,6/9/2014,Canvass Re-Inspection,41.96571902,-87.70853756,"(41.965719017423005, -87.70853756167853)",Pass
LASCHET'S INN,Restaurant,Risk 1 (High),60618,6/6/2014,Complaint,41.95399792,-87.68206242,"(41.953997919864065, -87.68206242189052)",Pass w/ Conditions
CHICKEN INN,Restaurant,Risk 1 (High),60631,6/25/2014,Canvass,42.01807882,-87.80697947,"(42.01807881531112, -87.80697946789799)",Pass
West Park Academy,School,Risk 1 (High),60651,4/23/2014,Canvass,41.90691024,-87.73240646,"(41.90691023652387, -87.73240645798082)",Pass
SERGIO'S PLACE,Restaurant,Risk 1 (High),60707,5/13/2014,License Re-Inspection,41.90907048,-87.79979158,"(41.90907047598386, -87.79979158282632)",Pass
POLAK EATERY,Restaurant,Risk 1 (High),60622,9/8/2014,License,41.90063956,-87.69667798,"(41.90063956353709, -87.69667798280055)",Fail
UMAMI BURGER,Restaurant,Risk 1 (High),60622,8/21/2014,License,41.90876698,-87.67517502,"(41.90876698226272, -87.67517501569742)",Fail
GARCIA'S INC,Restaurant,Risk 1 (High),60625,6/10/2014,Canvass,41.96800598,-87.6883373,"(41.9680059823652, -87.68833730074832)",Pass
SELAM MARKET  INC.,Restaurant,Risk 1 (High),60640,4/24/2014,Canvass,41.97371474,-87.65508608,"(41.9737147387465, -87.65508608389217)",Pass
ESSENCE OF INDIA,Restaurant,Risk 1 (High),60625,7/11/2014,Canvass,41.96499709,-87.68601382,"(41.964997092897626, -87.68601381879759)",Pass
EL TACONAZO RESTAURANT,Restaurant,Risk 1 (High),60639,5/7/2014,Canvass Re-Inspection,41.90994655,-87.72995037,"(41.90994655026227, -87.72995037139705)",Pass
GARLIC & CHILI THAI CUISINE,Restaurant,Risk 1 (High),60610,5/19/2014,Canvass,41.90484145,-87.63310113,"(41.904841451218275, -87.63310112695247)",Pass
QDOBA MEXICAN GRILL,Restaurant,Risk 1 (High),60601,6/5/2014,Canvass,41.88460763,-87.62576747,"(41.884607625636534, -87.62576746546853)",Pass
7-ELEVEN,Grocery Store,Risk 2 (Medium),60659,6/4/2014,Canvass,41.98337676,-87.71391166,"(41.98337676490411, -87.71391165932629)",Pass
NARYS GRILL & PIZZA,Restaurant,Risk 1 (High),60632,5/15/2014,Canvass Re-Inspection,41.81659663,-87.70039261,"(41.81659663170266, -87.70039260516799)",Pass
FERMIN'S POULTRY INC,LIVE POULTRY,Risk 2 (Medium),60629,5/6/2014,License Re-Inspection,41.78498088,-87.7230814,"(41.78498087520762, -87.72308139956414)",Pass
LE PAIN QUOTIDIEN,Restaurant,Risk 3 (Low),60611,7/3/2014,License,41.89925506,-87.62783464,"(41.89925505559848, -87.62783463799146)",Fail
SUPER GIFT & GROCERIES,Grocery Store,Risk 2 (Medium),60659,8/7/2014,Canvass,41.99765846,-87.68767204,"(41.99765846224234, -87.68767204213614)",Pass
