LA PENA RESTAURANTE,Restaurant,Risk 1 (High),60641,5/9/2014,Canvass,41.9573322,-87.75179742,"(41.95733219749337, -87.75179741856313)",Pass
ELLY'S PANCAKE HOUSE,Restaurant,Risk 1 (High),60610,7/28/2014,Canvass Re-Inspection,41.91106882,-87.63171063,"(41.91106881707658, -87.6317106335809)",Pass w/ Conditions
BRENDA'S KIDS CLUB DAYCARE CENTER,Daycare (2 - 6 Years),Risk 1 (High),60617,5/30/2014,License,41.68105327,-87.53683433,"(41.681053268167084, -87.53683432709336)",Pass
CHICK-FIL-A,Restaurant,Risk 1 (High),60611,5/19/2014,Complaint,41.8974266,-87.62711023,"(41.89742660194131, -87.62711022579533)",Pass
HANAMI,Restaurant,Risk 1 (High),60613,6/24/2014,Canvass,41.9531257,-87.67787379,"(41.95312569603146, -87.67787379155978)",Fail
JAPONAIS,Restaurant,Risk 1 (High),60654,5/14/2014,Canvass Re-Inspection,41.89658519,-87.64299618,"(41.896585191199556, -87.64299618172501)",Pass
ONESTI PIZZERIA INC,Restaurant,Risk 1 (High),60629,5/7/2014,Canvass,41.76443416,-87.69279451,"(41.7644341645427, -87.69279450732276)",Pass w/ Conditions
THE CHICAGO DINER INC,Restaurant,Risk 1 (High),60657,5/19/2014,Canvass,41.94398025,-87.6492386,"(41.94398025441224, -87.64923859947368)",Fail
GARRETT POPCORN SHOPS,Grocery Store,Risk 2 (Medium),60666,6/30/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Pass
KFC,Restaurant,Risk 2 (Medium),60640,6/17/2014,Complaint Re-Inspection,41.96925666,-87.65497266,"(41.969256657396244, -87.65497265731545)",Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60602,5/12/2014,Canvass,41.88222094,-87.62636517,"(41.88222093835454, -87.626365167586)",Pass
CHICAGO WINGS,Restaurant,Risk 1 (High),60623,7/30/2014,Canvass,41.85193458,-87.72462254,"(41.85193457567394, -87.72462254361173)",Out of Business
BIRRIERIA LOPEZ #1,Restaurant,Risk 1 (High),60629,6/9/2014,Canvass,41.78633316,-87.69139684,"(41.78633316306285, -87.69139683711299)",Pass
DENA KITCHEN,,Risk 1 (High),60647,9/5/2014,License,41.92478358,-87.71108669,"(41.92478358339969, -87.7110866887332)",Fail
LA LUNA GROCERY,Grocery Store,Risk 2 (Medium),60639,9/8/2014,Canvass,41.9172123,-87.73151092,"(41.91721229711406, -87.73151091917421)",Pass
AROMA ON NORTH AVENUE,Restaurant,Risk 1 (High),60610,5/27/2014,Canvass,41.91099475,-87.63927456,"(41.91099475072982, -87.63927456424538)",Fail
ANGIE'S,Restaurant,Risk 1 (High),60652,5/6/2014,Canvass,41.74056837,-87.72177348,"(41.74056837192125, -87.7217734812376)",Pass
CESAR'S MARGARITA BAR & GRILL,Restaurant,Risk 3 (Low),60640,6/3/2014,License Re-Inspection,41.97994675,-87.66813912,"(41.97994674971407, -87.66813912101561)",Fail
Auntie Anne's Pretzels,Restaurant,Risk 2 (Medium),60666,7/16/2014,Canvass,42.0085364,-87.91442844,"(42.008536400868735, -87.91442843927047)",Pass
MARGARET'S,Restaurant,Risk 1 (High),60641,7/8/2014,Canvass,41.95342216,-87.7561262,"(41.953422164082525, -87.75612619675917)",No Entry
SUBWAY SUBS AND SALADS,Restaurant,Risk 1 (High),60615,4/25/2014,Canvass,41.80190189,-87.62192629,"(41.80190189209081, -87.62192628789462)",Pass
BROBAGEL,Restaurant,Risk 1 (High),60622,8/7/2014,License,41.91039495,-87.67633341,"(41.910394950817256, -87.67633340602582)",Pass
SABAS VEGA INC.S,Restaurant,Risk 1 (High),60608,6/5/2014,Canvass Re-Inspection,41.85749504,-87.66628177,"(41.85749503531434, -87.66628177432439)",Pass
O'cha Thai Cuisine,Restaurant,Risk 1 (High),60647,6/16/2014,Canvass,41.9194909,-87.67783011,"(41.91949090356442, -87.67783010976112)",Pass w/ Conditions
CREATIVE MANSION CHLDRN'S ACDY,Daycare (2 - 6 Years),Risk 1 (High),60615,5/12/2014,License,41.80825846,-87.60152631,"(41.80825846420949, -87.60152630672184)",Pass
FITNESS FORMULA CLUBS-SOUTH LOOP,Restaurant,Risk 2 (Medium),60605,6/2/2014,License,41.8679045,-87.62728574,"(41.86790450001522, -87.62728574017743)",Fail
MEADOWBROOK EGG CO. INC.,Wholesale,Risk 3 (Low),60607,8/22/2014,Complaint,41.88680558,-87.65457152,"(41.88680558094913, -87.65457152182539)",Fail
EMMA'S BREAKFAST AND LUNCH,Restaurant,Risk 1 (High),60639,6/30/2014,Canvass Re-Inspection,41.9093193,-87.76135055,"(41.90931929901107, -87.76135055091358)",Pass
PIZZERIA ORD,Restaurant,Risk 2 (Medium),60613,6/30/2014,Canvass,41.96147679,-87.66958497,"(41.961476793333716, -87.66958497180899)",Pass
INTELLIGENTSIA COFFEE AND TEA,Restaurant,Risk 2 (Medium),60622,6/25/2014,License,41.90323156,-87.66789341,"(41.903231564276545, -87.66789341196245)",Pass
MOGADISHU RESTAURANT INC.,Restaurant,Risk 1 (High),60610,7/25/2014,Canvass Re-Inspection,41.89989401,-87.63715074,"(41.89989401176249, -87.63715073549078)",Fail
"MEXICO DOLLAR & FOOD,INC",Grocery Store,Risk 3 (Low),60623,5/2/2014,Canvass,41.85190141,-87.70333571,"(41.851901407016946, -87.70333571162458)",Out of Business
BARRACO'S PIZZA,Restaurant,Risk 1 (High),60655,6/13/2014,Complaint,41.69149532,-87.6977804,"(41.691495324148114, -87.6977804013201)",Pass
LUBAVITCH MESIVTA OF CHICAGO,School,Risk 1 (High),60645,5/29/2014,Canvass,42.00676993,-87.69960956,"(42.00676993211173, -87.69960955738188)",Pass
SUBWAY,Restaurant,Risk 1 (High),60601,8/19/2014,License,41.88458627,-87.63101045,"(41.88458626715456, -87.63101044588599)",Pass
BARBAKAN RESTAURANT,Restaurant,Risk 1 (High),60634,6/16/2014,Canvass,41.93803468,-87.766332,"(41.93803468310132, -87.76633200355475)",Pass
EDIBLE ARRANGEMENTS,Restaurant,Risk 2 (Medium),60605,7/29/2014,Canvass,41.86638952,-87.62398313,"(41.86638952382866, -87.62398313307733)",Pass w/ Conditions
MCDONALD'S,Restaurant,Risk 2 (Medium),60601,9/8/2014,Canvass,41.88656737,-87.62438467,"(41.886567370886944, -87.62438467059714)",Fail
CHICAGO'S HOME OF CHICKEN & WAFFLES,Restaurant,Risk 1 (High),60653,6/4/2014,Complaint,41.82254786,-87.61681562,"(41.82254785730014, -87.61681561837467)",Fail
RESTAURANT  EL ASADOR II,Restaurant,Risk 1 (High),60623,5/23/2014,Canvass Re-Inspection,41.84435645,-87.72520459,"(41.84435644599689, -87.72520458577316)",Pass
DUNKIN DONUTS,Restaurant,Risk 2 (Medium),60641,7/22/2014,Canvass,41.95823368,-87.75222572,"(41.95823367931564, -87.75222571859753)",Pass
ZOCALO,Restaurant,Risk 1 (High),60654,5/22/2014,Canvass,41.89324648,-87.6378703,"(41.8932464758799, -87.6378702999609)",Fail
CUERNAVACA RESTAURANT INC,Restaurant,Risk 1 (High),60608,6/4/2014,Canvass,41.85807384,-87.65579981,"(41.85807383601942, -87.65579980518957)",Pass
GOOD SHEPHERD/ZAPATA ACADEMY BRANCH,School,Risk 1 (High),60623,4/29/2014,Canvass,41.84152228,-87.73284474,"(41.841522284748294, -87.73284473849222)",Pass
BISTRO DRE LLC,Restaurant,Risk 1 (High),60657,7/2/2014,Canvass,41.93585162,-87.66310797,"(41.9358516200296, -87.66310796652628)",Pass
GUADALAJARA BAKERY,Bakery,Risk 2 (Medium),60639,5/16/2014,Canvass,41.91726718,-87.727264,"(41.91726717672642, -87.72726399727456)",Pass
TAMAZULA  GROCERY INC.,Grocery Store,Risk 1 (High),60647,6/27/2014,Canvass,41.91494584,-87.68966297,"(41.91494584241689, -87.68966296727474)",Pass
MAXWELL STREET GRILL,Restaurant,Risk 2 (Medium),60619,8/11/2014,Canvass,41.75872001,-87.62462454,"(41.75872001341062, -87.62462454365303)",Pass
EL PRESIDENTE RESTAURANT,Restaurant,Risk 1 (High),60614,4/18/2014,Canvass Re-Inspection,41.92868241,-87.66841493,"(41.928682408678675, -87.66841492782217)",Pass
C AND A GRILL,Restaurant,Risk 2 (Medium),60651,7/31/2014,License,41.89460678,-87.77483419,"(41.89460677907168, -87.77483418779396)",Fail
EL ENCANTO RESTAURANT,Restaurant,Risk 1 (High),60617,7/22/2014,Canvass,41.70550648,-87.53513945,"(41.70550648249998, -87.53513945323924)",Out of Business
Kim Long Restaurant,Restaurant,Risk 1 (High),60639,4/16/2014,Canvass,41.92424242,-87.7543435,"(41.92424241716219, -87.75434350318378)",Pass w/ Conditions
CALIHAN CATERING,Catering,Risk 1 (High),60622,6/11/2014,Canvass,41.90103213,-87.64894105,"(41.90103212673582, -87.64894105066604)",Pass
7-ELEVEN FOOD STORE,Grocery Store,Risk 2 (Medium),60645,4/25/2014,Canvass Re-Inspection,42.01197703,-87.69898721,"(42.01197702588138, -87.69898720764178)",Pass
TACO CHINO,Restaurant,Risk 1 (High),60625,5/1/2014,Canvass,41.96700987,-87.71346842,"(41.967009871578234, -87.71346842185804)",Out of Business
BLACKFINN AMERIPUB,Restaurant,Risk 1 (High),60654,6/4/2014,Canvass,41.88910913,-87.63054063,"(41.8891091281777, -87.6305406286297)",Fail
LA DULCE BAKERY INC,Bakery,Risk 2 (Medium),60639,6/6/2014,Complaint Re-Inspection,41.9237648,-87.77275232,"(41.923764802297526, -87.77275232461281)",Pass
RAY RAY FOOD MART,Grocery Store,Risk 2 (Medium),60651,7/14/2014,Complaint Re-Inspection,41.89842933,-87.7609112,"(41.89842933098916, -87.76091119548943)",Pass
La Kebrada,Restaurant,Risk 1 (High),60608,6/3/2014,Canvass,41.85239696,-87.66837744,"(41.852396957533664, -87.6683774419254)",Pass w/ Conditions
"PALETERIA PELAYO, INC.",PALETERIA,Risk 2 (Medium),60639,6/23/2014,Canvass,41.91696923,-87.7542798,"(41.9169692337426, -87.75427980386742)",Out of Business
WILD HARE,Restaurant,Risk 1 (High),60614,7/31/2014,Canvass,41.92946206,-87.64904948,"(41.929462059691446, -87.64904947805883)",Pass
