DBA Name,Facility Type,Risk,Zip,Inspection Date,Inspection Type,Latitude,Longitude,Location,Results
JERSEY MIKES,Restaurant,Risk 1 (High),60605,9/18/2014,License Re-Inspection,41.86753863,-87.62620848,"(41.86753862662266, -87.6262084807218)",Pass
FIVE STAR BAR & GRILL,Restaurant,Risk 1 (High),60622,9/18/2014,Complaint,41.89624197,-87.66344068,"(41.89624197172842, -87.66344067613402)",Pass
LATIN SCHOOL OF CHICAGO,Restaurant,Risk 1 (High),60610,9/18/2014,License,41.91108515,-87.6306321,"(41.911085151800144, -87.63063210150685)",Fail
THESPOTT INC.,Grocery Store,Risk 3 (Low),60620,9/18/2014,License Re-Inspection,41.74512625,-87.65374068,"(41.745126247535104, -87.65374068488805)",Pass
LATIN SCHOOL OF CHICAGO,Restaurant,Risk 1 (High),60610,9/18/2014,License,41.91038842,-87.63003388,"(41.91038842164898, -87.63003387629206)",Fail
LATIN SCHOOL OF CHICAGO,Restaurant,Risk 1 (High),60610,9/18/2014,License,41.91108516,-87.63125958,"(41.91108516003885, -87.63125957941122)",Fail
TWINKLING STARS PRESCHOOL LLC,Daycare (2 - 6 Years),Risk 1 (High),60618,9/18/2014,License,41.93966045,-87.68013461,"(41.939660448394484, -87.68013460872132)",Pass
ONE STOP SHOP FOOD MART,Grocery Store,Risk 2 (Medium),60628,9/18/2014,License Re-Inspection,41.68927882,-87.62115619,"(41.68927882135494, -87.62115618968048)",Fail
"MOTEL SLEEPERS, INC.",Restaurant,Risk 1 (High),60620,9/17/2014,License,41.73874723,-87.63212023,"(41.73874723452457, -87.63212022659707)",Fail
OWEN + ALCHEMY,Restaurant,Risk 2 (Medium),60647,9/17/2014,License,41.92411344,-87.6990905,"(41.92411344379971, -87.6990905008456)",Pass
MACHETES PA MATAR EL HAMBRE,Restaurant,Risk 1 (High),60632,9/17/2014,License Re-Inspection,41.80455147,-87.72002032,"(41.804551467287304, -87.72002031513671)",Pass
CHIPOTLE MEXICAN GRILL,Restaurant,Risk 1 (High),60657,9/17/2014,Canvass Re-Inspection,41.93270303,-87.66825941,"(41.93270303163393, -87.66825941420389)",Pass
FLIRTY CUPCAKES,Mobile Food Dispenser,Risk 3 (Low),60607,9/17/2014,License Re-Inspection,41.86959707,-87.65234902,"(41.86959706650426, -87.6523490175014)",Pass
KREATIVE KIDZ LEARNING ACADEMY INC.,Daycare Above and Under 2 Years,Risk 1 (High),60651,9/17/2014,License Re-Inspection,41.90828802,-87.72632247,"(41.908288020613874, -87.72632247341286)",Fail
CENTRO MARKET,Grocery Store,Risk 1 (High),60632,9/17/2014,Complaint,41.79925704,-87.70357471,"(41.799257043707684, -87.70357470655833)",Pass w/ Conditions
Restaurant Veneno De Nayarit,Restaurant,Risk 1 (High),60622,9/17/2014,Complaint,41.90045256,-87.6675601,"(41.90045255936403, -87.66756009821935)",Pass
ZAYTUNE MEDITERRANEAN GRILL,Restaurant,Risk 1 (High),60609,9/17/2014,License,41.83018726,-87.68517793,"(41.83018725526863, -87.68517792510231)",Fail
"JJ FOOD MART , INC",Grocery Store,Risk 3 (Low),60624,9/17/2014,License,41.88542883,-87.72565727,"(41.885428830592396, -87.72565727080126)",Pass
J. PATRICK'S,Restaurant,Risk 1 (High),60622,9/17/2014,Complaint Re-Inspection,41.89330889,-87.66216684,"(41.893308892207564, -87.66216684384946)",Pass
FAIR DEALS,Grocery Store,Risk 2 (Medium),60651,9/17/2014,License,41.89530107,-87.72143405,"(41.895301068393046, -87.72143405339754)",Fail
LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,Restaurant,Risk 1 (High),60612,9/17/2014,License,41.88085208,-87.6715854,"(41.88085208048551, -87.67158540351078)",Pass
JOEY'S SHRIMP HOUSE,Restaurant,Risk 2 (Medium),60622,9/17/2014,Canvass,41.90766196,-87.68729713,"(41.907661955970916, -87.68729713401048)",No Entry
BANH MI BA GET,Restaurant,Risk 1 (High),60618,9/17/2014,License,41.94308026,-87.68072843,"(41.94308026293759, -87.68072842785375)",Pass
CAFFE STREETS INC.,Restaurant,Risk 2 (Medium),60622,9/17/2014,Canvass,41.90338254,-87.67203153,"(41.90338253745453, -87.67203153194586)",Pass
SN GROCERY STORE INC.,Grocery Store,Risk 3 (Low),60623,9/17/2014,License,41.84038415,-87.72702718,"(41.840384147349994, -87.72702717733995)",Pass
CHATHAM AVALON NURSERY SCHOOL,Daycare (2 - 6 Years),Risk 1 (High),60619,9/16/2014,License,41.75108266,-87.62348268,"(41.751082656634544, -87.62348268495377)",Pass
MAYNE/ACT ONE CAFE,Restaurant,Risk 1 (High),60626,9/16/2014,Canvass,42.00803722,-87.66489552,"(42.008037223103784, -87.66489552129833)",Pass
RAZPACHOS,Restaurant,Risk 2 (Medium),60629,9/16/2014,License,41.79101256,-87.72295302,"(41.791012557325914, -87.72295302425351)",Pass
LA CASA DEL PUEBLO INC,Grocery Store,Risk 1 (High),60608,9/16/2014,Canvass Re-Inspection,41.85745275,-87.66168833,"(41.85745274639578, -87.66168833106371)",Pass
ATOMIX CAFE,Restaurant,Risk 2 (Medium),60622,9/16/2014,Canvass,41.89580466,-87.67690903,"(41.895804659381085, -87.67690902890348)",Fail
MUNOZ MARIN-LOWELL,School,Risk 1 (High),60651,9/16/2014,Canvass Re-Inspection,41.9056421,-87.71020463,"(41.90564209564053, -87.71020462884881)",Fail
SUBWAY,Restaurant,Risk 1 (High),60612,9/16/2014,License,41.86878384,-87.68624469,"(41.86878383901946, -87.68624468790969)",Pass
J. ROCCO ITALIAN TABLE & BAR,Restaurant,Risk 1 (High),60654,9/16/2014,Canvass,41.89634702,-87.63109365,"(41.8963470152103, -87.6310936533011)",Pass
S & K FOOD MART & RESTAURANT,Grocery Store,Risk 2 (Medium),60637,9/16/2014,Canvass,41.78399507,-87.61565416,"(41.78399506952186, -87.61565416279082)",No Entry
FRESH MARKET PLACE,Grocery Store,Risk 3 (Low),60647,9/16/2014,License Re-Inspection,41.92093215,-87.68766601,"(41.92093214697868, -87.68766600883245)",Pass
FIESTA MAGICA,Restaurant,Risk 1 (High),60639,9/16/2014,Canvass,41.91723398,-87.72982496,"(41.91723397943039, -87.72982496439141)",Pass
FRESH MARKET PLACE,Grocery Store,Risk 1 (High),60647,9/16/2014,License Re-Inspection,41.92093215,-87.68766601,"(41.92093214697868, -87.68766600883245)",Pass
MINI PALAPITA,Restaurant,Risk 1 (High),60630,9/16/2014,License,41.97083376,-87.74482422,"(41.970833760208265, -87.74482421972742)",Fail
ARTISAN BREAD SHOPPE CO.,Bakery,Risk 2 (Medium),60622,9/16/2014,License,41.89600397,-87.66470128,"(41.89600397472247, -87.66470128062726)",Fail
MR BROWN'S LOUNGE,Restaurant,Risk 1 (High),60622,9/16/2014,Complaint,41.89567339,-87.68451554,"(41.8956733853015, -87.68451553845719)",Pass
JERSEY MIKES,Restaurant,Risk 1 (High),60605,9/16/2014,License Re-Inspection,41.86753863,-87.62620848,"(41.86753862662266, -87.6262084807218)",Fail
EPIPHANY RESTAURANT,Restaurant,Risk 1 (High),60614,9/16/2014,License,41.92557912,-87.64768921,"(41.925579119724574, -87.64768921320083)",No Entry
PALETERIA Y VEVERIA BOMBON CO,Restaurant,Risk 2 (Medium),60639,9/16/2014,Canvass,41.92412328,-87.76339011,"(41.92412328275852, -87.76339011363099)",Pass w/ Conditions
SWEET SIGNATURE INC,Bakery,Risk 2 (Medium),60639,9/16/2014,Canvass,41.9240454,-87.76884975,"(41.924045404286005, -87.76884974737145)",Out of Business
La Chaparrita,Bakery,Risk 2 (Medium),60639,9/16/2014,Canvass,41.9240454,-87.76884975,"(41.924045404286005, -87.76884974737145)",Out of Business
St Malachy School,School,Risk 1 (High),60612,9/16/2014,Canvass,41.88314387,-87.68366627,"(41.88314387354198, -87.6836662682564)",Pass
ONE STOP SHOP FOOD MART,Grocery Store,Risk 2 (Medium),60628,9/16/2014,License Re-Inspection,41.68927882,-87.62115619,"(41.68927882135494, -87.62115618968048)",Fail
SUSHI,Restaurant,Risk 1 (High),60622,9/16/2014,Canvass Re-Inspection,41.89635199,-87.65669038,"(41.89635199197075, -87.65669038160023)",Pass
MAYNE/ACT ONE CAFE,Restaurant,Risk 3 (Low),60626,9/16/2014,License,42.00803722,-87.66489552,"(42.008037223103784, -87.66489552129833)",Pass
TAVERNITA,Restaurant,Risk 1 (High),60654,9/16/2014,Canvass,41.89389377,-87.63317341,"(41.89389377199522, -87.6331734103666)",No Entry
